x1,y1,z1,x2,y2,z2,par_state
7.8060934,2.8243152,-10.1596894,4.08,-3.61,7.77,par
6.2370294,2.8243152,-7.060788,7.92,-6.83,8,par
6.7077486,3.4519408,-6.1978028,13.81,-5.41,-4.94,par
9.4928372,6.668522,-13.72931,7.45,-4.47,-6.67,par
4.9817782,0.8629852,-5.88399,8.16,-11.53,13.89,par
8.3944924,2.549729,-3.5696206,20.04,-12.79,20.04,par
8.6690786,4.707192,-7.1784678,12.55,-6.59,-1.8,par
6.5116156,4.9817782,-5.88399,0,-10.2,-5.1,par
18.6718616,5.4132708,-3.1773546,20.04,-20.08,-1.18,par
8.5906254,6.2370294,-10.4735022,-11.53,-3.84,13.96,par
10.6304086,4.6287388,-6.0016698,9.65,-4.31,0.31,pa
10.6304086,-5.2563644,7.3353742,-3.22,3.53,-20.08,par
5.1779112,4.1580196,-7.9629998,1.96,-3.77,11.45,par
5.2563644,2.6281822,-8.1199062,1.65,-1.8,11.53,par
5.1386846,2.4320492,-8.2768126,1.41,-1.57,11.69,par
4.8248718,1.4513842,-8.0806796,2.28,-1.1,11.22,par
5.099458,2.7066354,-8.3552658,0.94,-2.12,12.16,par
2.8635418,2.2751428,-8.9436648,0.94,-2.51,12.55,normal
2.745862,0.8237586,-9.3359308,1.41,-1.26,12.08,normal
2.6281822,0.7060788,-9.5712904,0.78,-0.94,12.24,normal
3.4519408,1.0591182,-9.80665,0.94,-1.02,12.47,normal
3.8834334,1.4513842,-9.414384,1.41,-1.02,11.85,normal
3.6480738,1.176798,-9.4536106,1.33,-1.1,11.85,normal
3.4519408,1.1375714,-9.414384,1.1,-0.63,12,normal
3.4127142,1.0198916,-9.4536106,1.26,-0.63,11.92,normal
3.4127142,0.9022118,-9.5320638,0.86,-0.71,12.16,normal
3.2165812,0.9022118,-9.3751574,0.78,-0.78,11.69,normal
3.2558078,0.9022118,-9.3751574,1.02,-0.47,12,normal
0.0392266,3.530394,-9.4928372,2.43,-3.3,10.67,normal
0.6668522,3.1773546,-9.80665,3.14,-2.75,11.38,normal
0.588399,3.1773546,-9.6497436,3.22,-2.82,11.06,normal
0.2353596,3.1773546,-9.4928372,2.9,-2.9,11.38,normal
-0.0392266,3.0204482,-9.5712904,2.51,-2.9,11.61,normal
